13.87319,78.77348,516215
14.14931,78.75336,516504
14.4615,78.8566,516002
14.43811,78.81731,516004
14.46387,78.8472,516002
14.42681,78.58111,516218
14.31339,79.928,524320
14.46531,78.78677,516003
14.2887,78.7485,516504
14.77691,78.19957,516444
14.7442,79.718,524308
14.2535,77.6244,515100
14.3575,77.6384,515404
14.39852,77.63725,
14.4437,77.89319,515511
14.458743,78.439489,516321
13.83466,78.23586,515571
14.73664,77.59571,
15.15138,77.6663,515402
15.9157,77.65885,
15.554,77.6292,
15.13769,77.3232,515800
14.89193,77.58575,515774
14.73224,77.6936,515004
13.95287,77.571,515122
15.16572,77.4795,515800
14.7584,77.618,
15.2631,77.48978,
13.88241,77.5411,
13.76291,77.533,
14.4879,77.69379,
14.51826,77.6833,
14.4239,77.6963,515671
14.25361,78.195,515591
14.16532,78.15469,515591
14.161981,78.29715,
16.3766,8.5432,
16.3543,8.62693,
16.665,8.5584,
15.99452,8.5244,
16.1812,8.2384,
16.3955,8.496,
16.55566,79.62911,522415
16.5328,79.79778,522437
16.22428,8.1395,
16.445,8.55156,
16.4365,79.62247,522614
16.41377,8.55953,
16.67752,79.66513,522414
16.78916,81.46466,
13.3692,79.4772,517582
13.666,79.48376,517500
13.39311,79.38829,517569
13.14161,79.11153,517136
13.56,79.2519,517101
13.39168,79.631,517581
17.22488,81.66917,533287
13.6519,79.143,517102
12.7299,78.34843,517425
13.5358,78.52714,517330
13.41965,79.45198,517583
12.68849,78.34118,517425
13.5471,79.926,517541
12.8523,78.3915,517423
13.6454,78.75884,517277
12.867,78.37,517423
13.69427,78.4251,
13.33795,78.6659,517414
13.61755,78.54656,
13.65538,78.45597,517352
13.64674,79.89377,517541
13.2628,79.5832,517590
13.6534,78.264,517370
13.79228,79.9467,
12.83761,78.3866,517423
13.7688,78.81576,517235
13.19341,79.3645,517599
13.25351,79.2386,
13.56889,79.39838,517100
13.283,79.2348,517167
12.71891,78.36643,517425
13.71471,79.8299,517640
13.5328,79.367,
13.31931,79.24,517126
13.55446,78.56136,517330
12.68774,78.38857,517425
13.2732,78.59,
13.63969,78.47379,517350
13.6244,79.39264,517502
13.31651,79.176,517126
13.63267,79.3965,517500
13.31,79.16349,
13.863,79.1115,
13.925,79.1344,516107
13.37599,79.753,517587
13.4122,79.65991,517591
13.35136,79.9972,
13.3266,79.412,631207
13.155,78.6772,517415
13.8417,78.2915,517390
13.821,78.7887,517236
13.36472,78.4276,517441
15.82913,78.62,
15.48583,77.238915,518395
15.7624,77.9189,518464
15.669,77.9514,518218
15.5276,77.999,
15.4384,77.86149,518222
15.2856,77.7817,
15.19238,78.5178,
15.4923,78.4167,518112
15.18137,78.33814,518134
15.68572,77.97148,518218
15.32,78.5631,518363
15.59814,77.6294,
15.8847,77.98851,518005
15.37676,77.37249,518395
17.33337,82.538,533401
17.22178,82.2873,
